membro;tipo;elemento;descricao;detalhe;
ATE755;Tabela;MPDT126;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT321;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT322;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT323;Tipo de Acesso: ;Select
ATE755;Tabela;MPDT325;Tipo de Acesso: ;Select
ATE756;Programa;ATE765;;  
ATE756;Programa;ATR401;;  
ATE756;Programa;ATR411;;  
ATE756;Tabela;MPDT118;Tipo de Acesso: ;Select
ATE766;Programa;ATE755;;  
ATE766;Programa;ATRG013;;  
ATE766;Programa;ATR779;;  
ATE766;Tabela;MPDT004;Tabela de Autorizações ;Select
ATE766;Tabela;MPDT012;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT014;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT025;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT052;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT059;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT063;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT105;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT109;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT163;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT164;Tipo de Acesso: ;Select
ATE766;Tabela;MPDT310;Tipo de Acesso: ;Select
ATE772;Programa;ATR777;;  
ATE772;Tabela;MPDT001;Tipo de Acesso: ;Select
ATE772;Tabela;MPDT055;Tipo de Acesso: ;Select
ATE772;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE777;Programa;ATRG013;;  
ATE777;Programa;ATR500;;  
ATE777;Programa;ATR775;;  
ATE777;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT047;Tipo de Acesso: ;Insert
ATE777;Tabela;MPDT063;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT069;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT105;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT121;Tipo de Acesso: ;Update
ATE777;Tabela;MPDT123;Tipo de Acesso: ;Update
ATE777;Tabela;MPDT126;Tipo de Acesso: ;Update
ATE777;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT163;Tipo de Acesso: ;Update
ATE777;Tabela;MPDT164;Tipo de Acesso: ;Update
ATE777;Tabela;MPDT321;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT322;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT325;Tipo de Acesso: ;Select
ATE777;Tabela;MPDT326;Tipo de Acesso: ;Update
ATE777;Tabela;SALAUTCREMES;Tipo de Acesso: ;Update
ATE778;Programa;ATE754;;  
ATE778;Programa;ATRG013;;  
ATE778;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE778;Tabela;MPDT105;Tipo de Acesso: ;Select
ATE779;Programa;ATR500;;  
ATE779;Programa;ATR775;;  
ATE779;Tabela;MPDT007;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT009;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT044;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT047;Tipo de Acesso: ;Insert
ATE779;Tabela;MPDT063;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT069;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT105;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT121;Tipo de Acesso: ;Update
ATE779;Tabela;MPDT123;Tipo de Acesso: ;Update
ATE779;Tabela;MPDT126;Tipo de Acesso: ;Update
ATE779;Tabela;MPDT147;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT163;Tipo de Acesso: ;Update
ATE779;Tabela;MPDT164;Tipo de Acesso: ;Update
ATE779;Tabela;MPDT321;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT322;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT325;Tipo de Acesso: ;Select
ATE779;Tabela;MPDT326;Tipo de Acesso: ;Update
ATE779;Tabela;SALAUTCREMES;Tipo de Acesso: ;Update
ATE790;Programa;ATE755;;  
ATE790;Tabela;MPDT009;Tipo de Acesso: ;Update
ATE790;Tabela;MPDT021;Tipo de Acesso: ;Select
ATE790;Tabela;MPDT052;Tipo de Acesso: ;Select
ATE790;Tabela;MPDT059;Tipo de Acesso: ;Select
ATE790;Tabela;MPDT060;Tipo de Acesso: ;Select
ATE790;Tabela;MPDT063;Tipo de Acesso: ;Select
ATE790;Tabela;MPDT108;Tipo de Acesso: ;Update
ATE790;Tabela;MPDT109;Tipo de Acesso: ;Update
ATRG005;Programa;;;  
ATRG005;Tabela;MPDT305;Tipo de Acesso: ;Select
ATRG005;Tabela;MPDT310;Tipo de Acesso: ;Select
ATRG011;Programa;;;  
ATRG011;Tabela;MPDT305;Tipo de Acesso: ;Select
ATRG012;Programa;;;  
ATRG012;Tabela;MPDT305;Tipo de Acesso: ;Select
ATR007;Tabela;MPDT021;Tipo de Acesso: ;Select
ATR007;Tabela;MPDT107;Tipo de Acesso: ;Select
ATR068;Tabela;MPDT068;Tipo de Acesso: ;Insert
ATR068;Tabela;MPDT221;Tipo de Acesso: ;Select
ATR068;Tabela;MPDT342;Tipo de Acesso: ;Insert
ATR068;Tabela;MPDT606;Tipo de Acesso: ;Select
ATR068;Tabela;MPDT947;Tipo de Acesso: ;Select
ATR740;Tabela;MPDT065;Tipo de Acesso: ;Select
ATR770;Programa;;;  
PCSPO1AA;Tabela;MPDT009;Tipo de Acesso: ;Select
PCSPO1AA;Tabela;MPDT300;Tipo de Acesso: ;Select
PCSPO1AA;Tabela;MPDT401;Tipo de Acesso: ;Select
PCSPO1AA;Tabela;MPDT406;Tipo de Acesso: ;Select
PCSPRO50;Programa;;;  
PRRGP04;Programa;ATRGP01;;  
PRRGP04;Tabela;MPDT021;Tipo de Acesso: ;Select
PRRGP04;Tabela;MPDT104;Tipo de Acesso: ;Select
